TCI,pr,WMA
0.0014477851,0.0014481177,0.0014473753
0.0017480905,0.0017481172,0.0017467191
0.0023412332,0.002339831,0.0023390409
0.0035156081,0.0035117287,0.0035134964
0.0045235637,0.004517521,0.004522664
0.0049243593,0.0049205706,0.0049262545
0.00077890547,0.00077097537,0.00078348105
0.0009028021,0.0008916729,0.00091058237
0.00086396036,0.0008505748,0.00087642425
0.00027162035,0.00025404803,0.00028993085
0.00031452684,0.00028943596,0.00034135662
0.00069518655,0.0006581831,0.0007326467
4.120788e-05,-1.0613585e-05,9.335717e-05
6.6834036e-06,-6.5357075e-05,7.903273e-05
0.00017005368,6.873219e-05,0.0002688734
0.0002905446,0.00014923618,0.0004260632
0.0010758071,0.00087328674,0.0012589361
0.0015553784,0.0012769387,0.001805666
0.0015496485,0.0011737491,0.0018917929
0.0022489806,0.0017392493,0.002714674
0.004071141,0.003397395,0.004736449
0.0041476744,0.003484711,0.0048104986
0.0042873765,0.0036333026,0.0049372953
0.004480323,0.003831897,0.0051070284
0.0045883204,0.003928842,0.005191533
0.00448367,0.003789212,0.0050750263
0.0039974283,0.0032362929,0.0046106153
0.0039978763,0.00323676,0.004610583
0.0039734826,0.0032088198,0.004587501
0.003927995,0.0031577111,0.004546412
0.003933297,0.0031696483,0.0045554354
0.0039392095,0.003183674,0.0045654858
0.0038869502,0.003130917,0.004522324
0.0038925037,0.0031509344,0.004536538
0.003918251,0.003197187,0.004570409
0.0039561917,0.0032595587,0.004615772
0.004032871,0.0033678804,0.004695929
0.004082061,0.0034406185,0.004747289
0.0041292845,0.0035072123,0.004796455
0.004275429,0.003680789,0.004934145
0.0044990927,0.0039324104,0.005141534
0.004517283,0.0039525917,0.005159104
0.0045439578,0.0039810664,0.0051837545
0.0045702425,0.00400788,0.0052068173
0.004573414,0.0040084887,0.005207296
0.0045396634,0.0039688107,0.005173361
0.0044790767,0.003901023,0.005115787
0.0044777985,0.003899613,0.0051146215
0.00447297,0.003894512,0.0051102713
0.004467475,0.0038889977,0.0051055592
0.004467906,0.0038902913,0.005106605
0.0044663856,0.003889753,0.0051060095
0.00445999,0.0038843034,0.005101236
0.0044620717,0.003888593,0.0051048035
0.0044675046,0.0038968036,0.0051117395
0.0044756504,0.003908144,0.00512136
0.004487539,0.0039236248,0.0051345085
0.004496867,0.003936232,0.005145246
0.004510565,0.003953433,0.0051599937
0.0045375074,0.003984608,0.0051866635
0.0045657842,0.0040163524,0.0052136946
0.0045695924,0.0040205005,0.0052173035
0.004574142,0.00402525,0.005221432
0.0045772013,0.004028159,0.0052239764
0.004575647,0.004025917,0.0052221087
0.004569056,0.004018253,0.0052156155
0.0045615663,0.004009851,0.005208501
0.0045611965,0.0040094517,0.0052081686
0.004560417,0.0040086415,0.0052074753
0.0045597455,0.0040080096,0.005206924
0.004559649,0.0040080696,0.0052069435
0.004559178,0.004007781,0.005206652
0.0045584715,0.004007317,0.005206203
0.004558953,0.0040082326,0.005206918
0.004559965,0.0040097763,0.005208164
0.0045614354,0.0040118434,0.0052098595
0.0045633493,0.004014397,0.005211974
0.004565323,0.0040169857,0.0052141403
0.004568397,0.004020723,0.005217307
0.0045729205,0.004025926,0.005221732
0.0045766244,0.004030077,0.005225264
0.004577342,0.0040308475,0.0052259313
0.0045780274,0.004031547,0.005226541
0.0045782747,0.0040317397,0.0052267127
0.0045777424,0.004031069,0.005226149
0.0045766262,0.0040297857,0.005225059
0.0045756907,0.0040287366,0.0052241725
0.004575612,0.004028654,0.005224103
0.0045754905,0.0040285313,0.005223998
0.0045754006,0.004028451,0.005223926
0.0045753554,0.0040284335,0.005223907
0.004575265,0.0040283767,0.0052238517
0.0045751953,0.0040283585,0.0052238265
0.004575297,0.004028536,0.0052239685
0.0045754816,0.0040288153,0.005224196
0.004575744,0.004029181,0.005224497
0.0045760837,0.0040296284,0.0052248714
0.004576497,0.0040301527,0.005225312
0.0045770984,0.004030868,0.0052259183
0.004577816,0.004031689,0.0052266177
