system:index;formatted_date;mean_2m_air_temperature; minimum_2m_air_temperature; maximum_2m_air_temperature;total_precipitation;surface_pressure
0;1/01/2018;295,3125849;292,1738778;299,2820007;0,007528189;91261,29515
1;2/01/2018;295,3463583;292,5037258;300,0799739;0,017892807;91187,33619
2;3/01/2018;296,0038797;292,3903955;301,2909873;0,012361012;91110,11795
3;4/01/2018;295,9030631;292,2143851;300,7627386;0,011660104;91232,13698
4;5/01/2018;295,6950843;292,5545942;300,6449879;0,009751751;91330,25575
5;6/01/2018;295,774153;292,4134735;300,2204651;0,003353202;91298,1465
6;7/01/2018;295,8921446;290,9757736;301,1667503;0,002703241;91188,95403
7;8/01/2018;296,1656989;292,4406157;300,8781547;0,003700663;91132,46733
8;9/01/2018;294,6625781;292,9480383;297,1050717;0,019883065;91167,00076
9;10/01/2018;295,1377221;292,1102052;300,3263824;0,003529131;91171,62556
10;11/01/2018;295,8572599;292,5282655;300,3071096;0,006514877;91182,27299
11;12/01/2018;295,4952939;292,5450288;299,213065;0,011549385;91209,25849
12;13/01/2018;295,2602154;292,5085387;299,2171387;0,008617136;91214,83546
13;14/01/2018;295,5037263;292,6730715;299,9181592;0,00852707;91177,87488
14;15/01/2018;295,1612587;292,0582268;299,8872197;0,012429904;91133,91304
15;16/01/2018;295,1495933;291,850138;298,8367267;0,006508087;91159,98184
16;17/01/2018;294,9209822;292,303468;298,5471111;0,011752054;91224,24357
17;18/01/2018;295,1540857;292,1029129;299,9612043;0,011258143;91215,62935
18;19/01/2018;295,7270047;292,254488;300,4982027;0,006244691;91163,40816
19;20/01/2018;296,2340506;291,529832;301,4904347;0,00164377;91041,33484
20;21/01/2018;296,6507215;292,5183881;301,6565318;0,002242297;90956,98553
21;22/01/2018;296,2436472;292,0659433;300,7982449;0,003197137;90884,2603
22;23/01/2018;296,3375747;292,3841427;301,445158;0,004011606;90915,73917
23;24/01/2018;296,7552548;292,3389551;301,7940232;0,001538552;90953,24999
24;25/01/2018;296,540658;292,0425268;301,6426074;0,002117126;90963,49329
25;26/01/2018;296,5511771;292,7423423;301,0693336;0,002541174;90978,65039
26;27/01/2018;296,8447054;293,0242898;302,0318561;0,001403745;90875,60911
27;28/01/2018;297,0204757;293,6914686;301,4030822;0,002283662;90819,08869
28;29/01/2018;297,0485138;293,0478728;301,8909039;0,00246521;90731,89949
29;30/01/2018;297,3573361;293,6210018;302,0695064;0,002929269;90794,40965
30;31/01/2018;297,2884334;292,8245512;302,3409702;0,002021095;90842,20093
31;1/02/2018;297,4232129;293,2203142;302,0731097;0,00187485;90942,99875
32;2/02/2018;297,1815053;293,8633158;300,9170282;0,005097436;91038,13999
33;3/02/2018;296,3604882;293,9190047;299,7155472;0,003438743;91071,25867
34;4/02/2018;296,7355502;293,8684574;301,270677;0,00198632;91043,39721
35;5/02/2018;296,8634274;293,3246604;301,4823923;0,002903395;91070,67494
36;6/02/2018;297,2153537;293,1127455;302,4836514;0,004088633;91113,62734
37;7/02/2018;297,1855446;292,8933672;303,0942988;0,001288309;91081,9486
38;8/02/2018;297,0592073;292,3190286;301,7925648;0,002994936;91065,04485
39;9/02/2018;296,6998491;291,7418031;302,3961411;0,00157705;90973,56496
40;10/02/2018;297,2976016;293,2193633;302,6323641;0,003272684;91004,98998
41;11/02/2018;297,0057794;294,114448;300,8308604;0,011724364;91087,26424
42;12/02/2018;296,8114246;292,8962381;301,309766;0,006541352;91126,26743
43;13/02/2018;296,8193108;292,8217525;302,1696746;0,007277608;91161,04482
44;14/02/2018;296,1262192;293,6944719;300,5061475;0,004962283;91180,6597
45;15/02/2018;296,8495543;293,3822737;301,9132331;0,00241928;91168,82269
46;16/02/2018;297,1664186;293,7177438;302,1259985;0,003487608;91155,05381
47;17/02/2018;297,3091267;293,8673836;302,4631144;0,004813584;91151,43469
48;18/02/2018;297,0014125;293,5717938;301,8510734;0,003979498;91140,70703
49;19/02/2018;297,014481;292,7014126;302,66642;0,002309744;91076,64
50;20/02/2018;297,2948973;292,9916677;302,5062547;0,001800493;91110,01947
51;21/02/2018;296,755021;291,9307936;302,4301766;0,001355719;91200,84096
52;22/02/2018;296,7017913;292,9608362;300,8356291;0,006666203;91251,17351
53;23/02/2018;296,6666944;292,7859233;301,9092255;0,005101628;91256,11234
54;24/02/2018;296,3740396;292,786266;301,3870453;0,005411471;91222,13901
55;25/02/2018;296,1621056;292,4241842;300,7305692;0,004384101;91281,24656
56;26/02/2018;296,7616579;291,3800741;302,36996;0,004493579;91300,57638
57;27/02/2018;296,5639909;292,0078657;301,2909804;0,004120279;91260,31222
58;28/02/2018;296,4510046;292,5082108;301,3285899;0,002754002;91201,51138
59;1/03/2018;296,6222341;291,9309965;302,4118739;9,52E-04;91208,02849
