system:index;formatted_date;runoff_sum; sub_surface_runoff_sum; surface_runoff_sum;runoff_max;runoff_min
0;1/01/2018;0,002792268;0,002057874;7,34E-04;0,002792268;0,002792268
1;2/01/2018;0,007017125;0,004124728;0,002892397;0,007017125;0,007017125
2;3/01/2018;0,004540724;0,002598805;0,001941919;0,004540724;0,004540724
3;4/01/2018;0,004222168;0,002800896;0,001421272;0,004222168;0,004222168
4;5/01/2018;0,003769501;0,002303979;0,001465522;0,003769501;0,003769501
5;6/01/2018;0,002316413;0,002075003;2,41E-04;0,002316413;0,002316413
6;7/01/2018;0,002140474;0,001975935;1,65E-04;0,002140474;0,002140474
7;8/01/2018;0,002345145;0,002047215;2,98E-04;0,002345145;0,002345145
8;9/01/2018;0,007153841;0,003406714;0,003747127;0,007153841;0,007153841
9;10/01/2018;0,002691177;0,002345902;3,45E-04;0,002691177;0,002691177
10;11/01/2018;0,003038024;0,002142085;8,96E-04;0,003038024;0,003038024
11;12/01/2018;0,004854205;0,002928594;0,00192561;0,004854205;0,004854205
12;13/01/2018;0,003837689;0,003081878;7,56E-04;0,003837689;0,003837689
13;14/01/2018;0,003444573;0,002596118;8,48E-04;0,003444573;0,003444573
14;15/01/2018;0,008340586;0,005676236;0,00266435;0,008340586;0,008340586
15;16/01/2018;0,003508266;0,002783586;7,25E-04;0,003508266;0,003508266
16;17/01/2018;0,004850514;0,002895942;0,001954572;0,004850514;0,004850514
17;18/01/2018;0,007362913;0,005173909;0,002189004;0,007362913;0,007362913
18;19/01/2018;0,004435828;0,003802173;6,34E-04;0,004435828;0,004435828
19;20/01/2018;0,002919388;0,002796645;1,23E-04;0,002919388;0,002919388
20;21/01/2018;0,002770186;0,002625283;1,45E-04;0,002770186;0,002770186
21;22/01/2018;0,002806261;0,002486588;3,20E-04;0,002806261;0,002806261
22;23/01/2018;0,003342815;0,00292912;4,14E-04;0,003342815;0,003342815
23;24/01/2018;0,002341786;0,002272248;6,95E-05;0,002341786;0,002341786
24;25/01/2018;0,002212264;0,002117477;9,48E-05;0,002212264;0,002212264
25;26/01/2018;0,002149249;0,002007992;1,41E-04;0,002149249;0,002149249
26;27/01/2018;0,001967125;0,001906693;6,04E-05;0,001967125;0,001967125
27;28/01/2018;0,001925951;0,001820923;1,05E-04;0,001925951;0,001925951
28;29/01/2018;0,001869617;0,001744109;1,26E-04;0,001869617;0,001869617
29;30/01/2018;0,001873358;0,001689925;1,83E-04;0,001873358;0,001873358
30;31/01/2018;0,001700445;0,001621477;7,90E-05;0,001700445;0,001700445
31;1/02/2018;0,001644117;0,001557159;8,70E-05;0,001644117;0,001644117
32;2/02/2018;0,001891283;0,001549876;3,41E-04;0,001891283;0,001891283
33;3/02/2018;0,001659684;0,001454891;2,05E-04;0,001659684;0,001659684
34;4/02/2018;0,001530346;0,00141166;1,19E-04;0,001530346;0,001530346
35;5/02/2018;0,001610405;0,001409377;2,01E-04;0,001610405;0,001610405
36;6/02/2018;0,002029725;0,001375026;6,55E-04;0,002029725;0,002029725
37;7/02/2018;0,001385577;0,001299992;8,56E-05;0,001385577;0,001385577
38;8/02/2018;0,001770014;0,001346921;4,23E-04;0,001770014;0,001770014
39;9/02/2018;0,001410266;0,00126472;1,46E-04;0,001410266;0,001410266
40;10/02/2018;0,00188646;0,001292571;5,94E-04;0,00188646;0,00188646
41;11/02/2018;0,004757695;0,002131777;0,002625917;0,004757695;0,004757695
42;12/02/2018;0,002618966;0,001671026;9,48E-04;0,002618966;0,002618966
43;13/02/2018;0,003066461;0,001943719;0,001122742;0,003066461;0,003066461
44;14/02/2018;0,002843467;0,001953656;8,90E-04;0,002843467;0,002843467
45;15/02/2018;0,001804873;0,001501076;3,04E-04;0,001804873;0,001804873
46;16/02/2018;0,001975803;0,001452041;5,24E-04;0,001975803;0,001975803
47;17/02/2018;0,001937755;0,00151605;4,22E-04;0,001937755;0,001937755
48;18/02/2018;0,001936027;0,00158679;3,49E-04;0,001936027;0,001936027
49;19/02/2018;0,001906501;0,001477204;4,29E-04;0,001906501;0,001906501
50;20/02/2018;0,001816134;0,001401851;4,14E-04;0,001816134;0,001816134
51;21/02/2018;0,001470369;0,001326529;1,44E-04;0,001470369;0,001470369
52;22/02/2018;0,003124463;0,001606127;0,001518335;0,003124463;0,003124463
53;23/02/2018;0,002722002;0,001486694;0,001235307;0,002722002;0,002722002
54;24/02/2018;0,002551364;0,001538794;0,00101257;0,002551364;0,002551364
55;25/02/2018;0,001931183;0,001376494;5,55E-04;0,001931183;0,001931183
56;26/02/2018;0,0021495;0,00140921;7,40E-04;0,0021495;0,0021495
57;27/02/2018;0,002133858;0,001377686;7,56E-04;0,002133858;0,002133858
58;28/02/2018;0,001465563;0,001242314;2,23E-04;0,001465563;0,001465563
59;1/03/2018;0,001258142;0,001183613;7,45E-05;0,001258142;0,001258142
